area,Noun:a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography,
army,Noun:a permanent organization of the military land forces of a nation or state,
aunt,Noun:the sister of your father or mother; the wife of your uncle,
away,Adjective:not present; having left,
baby,Noun:a very young child (birth to 1 year,
base,Noun:installation from which a military force initiates operations,
back,Noun:the posterior part of a human (or animal,
ball,Noun:round object that is hit or thrown or kicked in games,
bank,Noun:sloping land (especially the slope beside a body of water,
bath,Noun:a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it,
bean,Noun:any of various edible seeds of plants of the family Leguminosae used for food,
bear,Noun:massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,
beer,Noun:a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals,
bell,Noun:a hollow device made of metal that makes a ringing sound when struck,
best,Noun:the supreme effort one can make,
bird,Noun:warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,
bite,Noun:a wound resulting from biting by an animal or a person,
blow,Noun:a powerful stroke with the fist or a weapon,
blue,Noun:blue color or pigment; resembling the color of the clear sky in the daytime,
boat,Noun:a small vessel for travel on water,
body,Noun:the entire physical structure of an organism (an animal, plant, or human being,
boil,Noun:a painful sore with a hard core filled with pus,
bone,Noun:rigid connective tissue that makes up the skeleton of vertebrates,
book,Noun:a written work or composition that has been published (printed on pages bound together,
born,Noun:British nuclear physicist (born in Germany,
both,Adjective:(used with count nouns,
bowl,Noun:a round vessel that is open at the top; used chiefly for holding food or liquids,
burn,Noun:pain that feels hot as if it were on fire,
busy,Adjective:actively or fully engaged or occupied,
cake,Noun:a block of solid substance (such as soap or wax,
call,Noun:a telephone connection,
card,Noun:one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes,
care,Noun:the work of providing treatment for or attending to someone or something,
case,Noun:an occurrence of something,
city,Noun:a large and densely populated urban area; may include several independent administrative districts,
coat,Noun:an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,
coin,Noun:a flat metal piece (usually a disc,
cold,Noun:a mild viral infection involving the nose and respiratory passages (but not the lungs,
comb,Noun:a flat device with narrow pointed teeth on one edge; disentangles or arranges hair,
come,Noun:the thick white fluid containing spermatozoa that is ejaculated by the male genital tract,
cook,Noun:someone who cooks food,
cool,Noun:the quality of being at a refreshingly low temperature,
corn,Noun:tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times,
cost,Noun:the total spent for goods or services including money and time and labor,
dark,Noun:absence of light or illumination,
dead,Noun:people who are no longer living,
deep,Noun:the central and most intense or profound part,
deer,Noun:distinguished from Bovidae by the male's having solid deciduous antlers,
desk,Noun:a piece of furniture with a writing surface and usually drawers or other compartments,
dish,Noun:a piece of dishware normally used as a container for holding or serving food,
door,Noun:a swinging or sliding barrier that will close the entrance to a room or building or vehicle,
down,Noun:soft fine feathers,
draw,Noun:a gully that is shallower than a ravine,
drop,Noun:a shape that is spherical and small,
duck,Noun:small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,
dust,Noun:fine powdery material such as dry earth or pollen that can be blown about in the air,
duty,Noun:the social force that binds you to the courses of action demanded by that force,
each,Adjective:(used of count nouns,
earn,Verb:earn on some commercial or business transaction; earn as salary or wages,
east,Noun:the cardinal compass point that is at 90 degrees,
easy,Adjective:posing no difficulty; requiring little effort,
else,
even,Noun:the latter part of the day (the period of decreasing daylight from late afternoon until nightfall,
ever,Adverb:at any time,
face,Noun:the front of the human head from the forehead to the chin and ear to ear,
fact,Noun:a piece of information about circumstances that exist or events that have occurred,
fail,Verb:fail to do something; leave something undone,
fall,Noun:the season when the leaves fall from the trees,
farm,Noun:workplace consisting of farm buildings and cultivated land as a unit,
fast,Noun:abstaining from food,
fear,Noun:an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight,
feed,Noun:food for domestic livestock,
feel,Noun:an intuitive awareness,
fill,Noun:a quantity sufficient to satisfy,
film,Noun:a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,
find,Noun:a productive insight,
fine,Noun:money extracted as a penalty,
fire,Noun:the event of something burning (often destructive,
five,Noun:the cardinal number that is the sum of four and one,
flag,Noun:emblem usually consisting of a rectangular piece of cloth of distinctive design,
flat,Noun:a level tract of land,
fold,Noun:an angular or rounded shape made by folding,
food,Noun:any substance that can be metabolized by an animal to give energy and build tissue,
fool,Noun:a person who lacks good judgment,
